boot_df,random_state,f1_score
0,0,0.75
0,1,0.74
0,2,0.78
0,3,0.75
0,4,0.74
0,5,0.75
0,6,0.75
0,7,0.77
0,8,0.77
0,9,0.71
1,0,0.74
1,1,0.77
1,2,0.69
1,3,0.78
1,4,0.71
1,5,0.75
1,6,0.75
1,7,0.73
1,8,0.76
1,9,0.73
2,0,0.75
2,1,0.77
2,2,0.73
2,3,0.73
2,4,0.77
2,5,0.76
2,6,0.75
2,7,0.76
2,8,0.71
2,9,0.74
3,0,0.73
3,1,0.71
3,2,0.73
3,3,0.77
3,4,0.76
3,5,0.76
3,6,0.74
3,7,0.75
3,8,0.73
3,9,0.71
4,0,0.75
4,1,0.73
4,2,0.76
4,3,0.75
4,4,0.72
4,5,0.74
4,6,0.76
4,7,0.73
4,8,0.79
4,9,0.69
5,0,0.72
5,1,0.67
5,2,0.71
5,3,0.73
5,4,0.75
5,5,0.74
5,6,0.75
5,7,0.75
5,8,0.74
5,9,0.73
6,0,0.76
6,1,0.75
6,2,0.74
6,3,0.77
6,4,0.76
6,5,0.73
6,6,0.77
6,7,0.73
6,8,0.74
6,9,0.76
7,0,0.76
7,1,0.7
7,2,0.71
7,3,0.72
7,4,0.75
7,5,0.74
7,6,0.73
7,7,0.76
7,8,0.69
7,9,0.76
8,0,0.7
8,1,0.77
8,2,0.72
8,3,0.71
8,4,0.73
8,5,0.76
8,6,0.75
8,7,0.73
8,8,0.76
8,9,0.73
9,0,0.71
9,1,0.76
9,2,0.72
9,3,0.72
9,4,0.72
9,5,0.7
9,6,0.7
9,7,0.75
9,8,0.77
9,9,0.74
10,0,0.73
10,1,0.75
10,2,0.74
10,3,0.77
10,4,0.72
10,5,0.72
10,6,0.74
10,7,0.77
10,8,0.77
10,9,0.75
11,0,0.72
11,1,0.73
11,2,0.73
11,3,0.74
11,4,0.75
11,5,0.75
11,6,0.72
11,7,0.76
11,8,0.73
11,9,0.75
12,0,0.74
12,1,0.74
12,2,0.71
12,3,0.76
12,4,0.73
12,5,0.72
12,6,0.73
12,7,0.71
12,8,0.74
12,9,0.72
13,0,0.75
13,1,0.78
13,2,0.77
13,3,0.75
13,4,0.7
13,5,0.77
13,6,0.7
13,7,0.75
13,8,0.73
13,9,0.72
14,0,0.73
14,1,0.72
14,2,0.75
14,3,0.79
14,4,0.74
14,5,0.76
14,6,0.7
14,7,0.72
14,8,0.77
14,9,0.74
15,0,0.7
15,1,0.69
15,2,0.72
15,3,0.73
15,4,0.74
15,5,0.7
15,6,0.74
15,7,0.74
15,8,0.76
15,9,0.72
16,0,0.73
16,1,0.72
16,2,0.76
16,3,0.67
16,4,0.72
16,5,0.74
16,6,0.72
16,7,0.75
16,8,0.72
16,9,0.73
17,0,0.78
17,1,0.73
17,2,0.74
17,3,0.71
17,4,0.74
17,5,0.72
17,6,0.7
17,7,0.75
17,8,0.7
17,9,0.7
18,0,0.73
18,1,0.76
18,2,0.73
18,3,0.68
18,4,0.78
18,5,0.78
18,6,0.71
18,7,0.73
18,8,0.77
18,9,0.71
19,0,0.76
19,1,0.74
19,2,0.73
19,3,0.72
19,4,0.76
19,5,0.72
19,6,0.74
19,7,0.7
19,8,0.72
19,9,0.73
20,0,0.74
20,1,0.74
20,2,0.71
20,3,0.76
20,4,0.78
20,5,0.75
20,6,0.71
20,7,0.74
20,8,0.73
20,9,0.71
21,0,0.74
21,1,0.75
21,2,0.76
21,3,0.76
21,4,0.74
21,5,0.73
21,6,0.79
21,7,0.75
21,8,0.75
21,9,0.77
22,0,0.77
22,1,0.74
22,2,0.76
22,3,0.76
22,4,0.75
22,5,0.76
22,6,0.75
22,7,0.77
22,8,0.7
22,9,0.78
23,0,0.68
23,1,0.73
23,2,0.72
23,3,0.75
23,4,0.75
23,5,0.77
23,6,0.76
23,7,0.76
23,8,0.75
23,9,0.76
24,0,0.75
24,1,0.73
24,2,0.72
24,3,0.79
24,4,0.76
24,5,0.77
24,6,0.75
24,7,0.78
