boot_df,random_state,f1_score
0,0,0.82
0,1,0.78
0,2,0.8
0,3,0.8
0,4,0.8
0,5,0.83
0,6,0.77
0,7,0.81
0,8,0.83
0,9,0.81
1,0,0.8
1,1,0.78
1,2,0.83
1,3,0.77
1,4,0.77
1,5,0.78
1,6,0.77
1,7,0.79
1,8,0.82
1,9,0.8
2,0,0.81
2,1,0.82
2,2,0.83
2,3,0.85
2,4,0.83
2,5,0.8
2,6,0.82
2,7,0.81
2,8,0.83
2,9,0.79
3,0,0.87
3,1,0.82
3,2,0.82
3,3,0.85
3,4,0.81
3,5,0.78
3,6,0.8
3,7,0.83
3,8,0.82
3,9,0.8
4,0,0.79
4,1,0.78
4,2,0.77
4,3,0.83
4,4,0.82
4,5,0.79
4,6,0.8
4,7,0.79
4,8,0.79
4,9,0.81
5,0,0.82
5,1,0.82
5,2,0.82
5,3,0.81
5,4,0.8
5,5,0.77
5,6,0.77
5,7,0.8
5,8,0.82
5,9,0.81
6,0,0.81
6,1,0.78
6,2,0.77
6,3,0.78
6,4,0.8
6,5,0.81
6,6,0.77
6,7,0.78
6,8,0.81
6,9,0.83
7,0,0.79
7,1,0.8
7,2,0.79
7,3,0.8
7,4,0.82
7,5,0.75
7,6,0.75
7,7,0.81
7,8,0.78
7,9,0.81
8,0,0.82
8,1,0.83
8,2,0.8
8,3,0.77
8,4,0.81
8,5,0.82
8,6,0.78
8,7,0.81
8,8,0.8
8,9,0.78
9,0,0.78
9,1,0.8
9,2,0.78
9,3,0.79
9,4,0.78
9,5,0.79
9,6,0.76
9,7,0.81
9,8,0.82
9,9,0.79
10,0,0.8
10,1,0.82
10,2,0.78
10,3,0.76
10,4,0.77
10,5,0.77
10,6,0.76
10,7,0.79
10,8,0.76
10,9,0.81
11,0,0.79
11,1,0.8
11,2,0.82
11,3,0.8
11,4,0.81
11,5,0.82
11,6,0.78
11,7,0.8
11,8,0.82
11,9,0.83
12,0,0.81
12,1,0.8
12,2,0.8
12,3,0.81
12,4,0.81
12,5,0.84
12,6,0.81
12,7,0.83
12,8,0.82
12,9,0.79
13,0,0.78
13,1,0.8
13,2,0.82
13,3,0.78
13,4,0.83
13,5,0.76
13,6,0.76
13,7,0.81
13,8,0.81
13,9,0.83
14,0,0.81
14,1,0.82
14,2,0.84
14,3,0.8
14,4,0.82
14,5,0.79
14,6,0.8
14,7,0.81
14,8,0.79
14,9,0.81
15,0,0.83
15,1,0.79
15,2,0.79
15,3,0.78
15,4,0.81
15,5,0.81
15,6,0.78
15,7,0.78
15,8,0.81
15,9,0.77
16,0,0.81
16,1,0.78
16,2,0.82
16,3,0.78
16,4,0.79
16,5,0.82
16,6,0.81
16,7,0.8
16,8,0.77
16,9,0.76
17,0,0.8
17,1,0.76
17,2,0.78
17,3,0.79
17,4,0.77
17,5,0.75
17,6,0.78
17,7,0.82
17,8,0.78
17,9,0.8
18,0,0.8
18,1,0.81
18,2,0.78
18,3,0.8
18,4,0.8
18,5,0.78
18,6,0.82
18,7,0.83
18,8,0.84
18,9,0.77
19,0,0.8
19,1,0.74
19,2,0.78
19,3,0.8
19,4,0.78
19,5,0.77
19,6,0.82
19,7,0.79
19,8,0.83
19,9,0.79
20,0,0.84
20,1,0.83
20,2,0.83
20,3,0.85
20,4,0.79
20,5,0.79
20,6,0.8
20,7,0.78
20,8,0.79
