boot_df,random_state,f1_score
0,0,0.63
0,1,0.63
0,2,0.63
0,3,0.64
0,4,0.63
0,5,0.63
0,6,0.63
0,7,0.64
0,8,0.63
0,9,0.63
1,0,0.62
1,1,0.63
1,2,0.63
1,3,0.62
1,4,0.62
1,5,0.62
1,6,0.63
1,7,0.62
1,8,0.63
1,9,0.62
2,0,0.63
2,1,0.63
2,2,0.63
2,3,0.63
2,4,0.63
2,5,0.63
2,6,0.63
2,7,0.63
2,8,0.63
2,9,0.63
3,0,0.62
3,1,0.61
3,2,0.62
3,3,0.62
3,4,0.63
3,5,0.62
3,6,0.62
3,7,0.62
3,8,0.61
3,9,0.63
4,0,0.63
4,1,0.64
4,2,0.64
4,3,0.63
4,4,0.64
4,5,0.64
4,6,0.63
4,7,0.64
4,8,0.64
4,9,0.64
5,0,0.64
5,1,0.64
5,2,0.63
5,3,0.63
5,4,0.63
5,5,0.63
5,6,0.63
5,7,0.63
5,8,0.63
5,9,0.63
6,0,0.63
6,1,0.63
6,2,0.63
6,3,0.63
6,4,0.64
6,5,0.64
6,6,0.63
6,7,0.63
6,8,0.63
6,9,0.63
7,0,0.62
7,1,0.62
7,2,0.63
7,3,0.63
7,4,0.63
7,5,0.63
7,6,0.62
7,7,0.62
7,8,0.62
7,9,0.62
8,0,0.63
8,1,0.63
8,2,0.62
8,3,0.63
8,4,0.63
8,5,0.63
8,6,0.62
8,7,0.63
8,8,0.63
8,9,0.63
9,0,0.63
9,1,0.62
9,2,0.63
9,3,0.62
9,4,0.62
9,5,0.62
9,6,0.62
9,7,0.63
9,8,0.63
9,9,0.62
10,0,0.63
10,1,0.63
10,2,0.63
10,3,0.63
10,4,0.62
10,5,0.63
10,6,0.63
10,7,0.63
10,8,0.63
10,9,0.63
11,0,0.63
11,1,0.63
11,2,0.63
11,3,0.63
11,4,0.62
11,5,0.63
11,6,0.63
11,7,0.63
11,8,0.63
11,9,0.63
12,0,0.63
12,1,0.63
12,2,0.64
12,3,0.63
12,4,0.63
12,5,0.63
12,6,0.64
12,7,0.63
12,8,0.63
12,9,0.64
13,0,0.62
13,1,0.62
13,2,0.62
13,3,0.63
13,4,0.63
13,5,0.62
13,6,0.62
13,7,0.63
13,8,0.62
13,9,0.62
14,0,0.63
14,1,0.63
14,2,0.63
14,3,0.63
14,4,0.63
14,5,0.63
14,6,0.63
14,7,0.63
14,8,0.63
14,9,0.63
15,0,0.64
15,1,0.64
15,2,0.63
15,3,0.63
15,4,0.63
15,5,0.63
15,6,0.64
15,7,0.63
15,8,0.63
15,9,0.64
16,0,0.63
16,1,0.63
16,2,0.63
16,3,0.64
16,4,0.64
16,5,0.63
16,6,0.64
16,7,0.64
16,8,0.64
16,9,0.63
17,0,0.63
17,1,0.63
17,2,0.63
17,3,0.63
17,4,0.62
17,5,0.63
17,6,0.63
17,7,0.63
17,8,0.62
17,9,0.63
18,0,0.62
18,1,0.62
18,2,0.62
18,3,0.63
18,4,0.62
18,5,0.62
18,6,0.62
18,7,0.62
18,8,0.62
18,9,0.62
19,0,0.63
19,1,0.63
19,2,0.63
19,3,0.63
19,4,0.63
19,5,0.63
19,6,0.63
19,7,0.63
19,8,0.63
19,9,0.64
20,0,0.63
20,1,0.62
20,2,0.63
20,3,0.63
20,4,0.62
20,5,0.62
20,6,0.62
20,7,0.63
20,8,0.62
20,9,0.63
21,0,0.63
21,1,0.63
21,2,0.63
21,3,0.63
21,4,0.63
21,5,0.63
21,6,0.62
21,7,0.63
21,8,0.63
21,9,0.63
22,0,0.63
22,1,0.63
22,2,0.63
22,3,0.63
22,4,0.63
22,5,0.63
22,6,0.63
22,7,0.63
22,8,0.63
22,9,0.63
23,0,0.63
23,1,0.63
23,2,0.63
23,3,0.63
23,4,0.63
23,5,0.63
23,6,0.63
23,7,0.63
23,8,0.63
