boot_df,random_state,f1_score
0,0,0.6
0,1,0.6
0,2,0.59
0,3,0.6
0,4,0.6
0,5,0.59
0,6,0.59
0,7,0.6
0,8,0.6
0,9,0.59
1,0,0.59
1,1,0.59
1,2,0.59
1,3,0.59
1,4,0.59
1,5,0.59
1,6,0.59
1,7,0.59
1,8,0.59
1,9,0.59
2,0,0.59
2,1,0.6
2,2,0.59
2,3,0.59
2,4,0.6
2,5,0.6
2,6,0.6
2,7,0.59
2,8,0.59
2,9,0.6
3,0,0.6
3,1,0.59
3,2,0.59
3,3,0.59
3,4,0.59
3,5,0.6
3,6,0.59
3,7,0.6
3,8,0.59
3,9,0.6
4,0,0.59
4,1,0.6
4,2,0.6
4,3,0.6
4,4,0.59
4,5,0.6
4,6,0.59
4,7,0.6
4,8,0.6
4,9,0.6
5,0,0.59
5,1,0.6
5,2,0.59
5,3,0.6
5,4,0.59
5,5,0.6
5,6,0.59
5,7,0.59
5,8,0.59
5,9,0.6
6,0,0.6
6,1,0.6
6,2,0.59
6,3,0.59
6,4,0.6
6,5,0.6
6,6,0.6
6,7,0.6
6,8,0.6
6,9,0.59
7,0,0.59
7,1,0.6
7,2,0.59
7,3,0.6
7,4,0.6
7,5,0.6
7,6,0.6
7,7,0.59
7,8,0.59
7,9,0.6
8,0,0.6
8,1,0.6
8,2,0.59
8,3,0.6
8,4,0.6
8,5,0.59
8,6,0.59
8,7,0.6
8,8,0.6
8,9,0.59
9,0,0.6
9,1,0.59
9,2,0.59
9,3,0.59
9,4,0.59
9,5,0.6
9,6,0.59
9,7,0.6
9,8,0.59
9,9,0.6
10,0,0.6
10,1,0.6
10,2,0.6
10,3,0.6
10,4,0.59
10,5,0.6
10,6,0.6
10,7,0.6
10,8,0.59
10,9,0.6
11,0,0.6
11,1,0.59
11,2,0.6
11,3,0.59
11,4,0.6
11,5,0.59
11,6,0.6
11,7,0.59
11,8,0.59
11,9,0.59
12,0,0.6
12,1,0.6
12,2,0.6
12,3,0.6
12,4,0.59
12,5,0.59
12,6,0.6
12,7,0.59
12,8,0.6
12,9,0.6
13,0,0.6
13,1,0.59
13,2,0.6
13,3,0.6
13,4,0.59
13,5,0.6
13,6,0.6
13,7,0.6
13,8,0.6
13,9,0.6
14,0,0.59
14,1,0.59
14,2,0.58
14,3,0.59
14,4,0.59
14,5,0.59
14,6,0.59
14,7,0.59
14,8,0.6
14,9,0.6
15,0,0.59
15,1,0.6
15,2,0.59
15,3,0.6
15,4,0.6
15,5,0.59
15,6,0.6
15,7,0.6
15,8,0.6
15,9,0.61
16,0,0.59
16,1,0.59
16,2,0.6
16,3,0.6
16,4,0.6
16,5,0.59
16,6,0.6
16,7,0.59
16,8,0.6
16,9,0.59
17,0,0.6
17,1,0.6
17,2,0.6
17,3,0.59
17,4,0.6
17,5,0.59
17,6,0.59
17,7,0.59
17,8,0.59
17,9,0.59
18,0,0.6
18,1,0.59
18,2,0.59
18,3,0.59
18,4,0.59
18,5,0.59
18,6,0.59
18,7,0.59
18,8,0.59
18,9,0.6
19,0,0.6
19,1,0.59
19,2,0.6
19,3,0.6
19,4,0.6
19,5,0.6
19,6,0.59
19,7,0.59
19,8,0.59
19,9,0.6
20,0,0.59
20,1,0.59
20,2,0.59
20,3,0.6
20,4,0.59
20,5,0.59
20,6,0.59
20,7,0.6
20,8,0.59
20,9,0.6
21,0,0.6
21,1,0.59
21,2,0.6
21,3,0.59
21,4,0.6
21,5,0.6
21,6,0.6
21,7,0.59
21,8,0.6
21,9,0.6
22,0,0.59
22,1,0.59
22,2,0.59
22,3,0.59
22,4,0.59
22,5,0.59
22,6,0.59
22,7,0.6
22,8,0.59
22,9,0.59
23,0,0.59
23,1,0.6
23,2,0.59
23,3,0.6
23,4,0.6
23,5,0.6
23,6,0.6
23,7,0.59
23,8,0.59
23,9,0.59
24,0,0.6
24,1,0.59
24,2,0.59
24,3,0.59
24,4,0.59
24,5,0.58
24,6,0.59
24,7,0.59
24,8,0.59
24,9,0.59
25,0,0.59
25,1,0.59
25,2,0.59
25,3,0.59
25,4,0.59
25,5,0.59
25,6,0.59
25,7,0.59
25,8,0.6
25,9,0.59
26,0,0.59
26,1,0.6
26,2,0.59
26,3,0.59
26,4,0.59
26,5,0.59
26,6,0.59
26,7,0.59
26,8,0.59
26,9,0.59
27,0,0.59
27,1,0.59
27,2,0.59
27,3,0.59
27,4,0.6
27,5,0.59
27,6,0.59
27,7,0.59
27,8,0.59
27,9,0.59
28,0,0.59
28,1,0.59
28,2,0.59
28,3,0.59
28,4,0.59
28,5,0.59
28,6,0.6
28,7,0.59
28,8,0.6
28,9,0.6
29,0,0.59
29,1,0.59
29,2,0.59
29,3,0.59
29,4,0.59
29,5,0.6
29,6,0.6
29,7,0.59
29,8,0.6
29,9,0.59
30,0,0.59
30,1,0.58
30,2,0.6
30,3,0.59
30,4,0.59
30,5,0.59
30,6,0.58
30,7,0.59
30,8,0.59
30,9,0.59
31,0,0.59
31,1,0.59
31,2,0.59
31,3,0.59
31,4,0.6
31,5,0.59
31,6,0.59
31,7,0.59
31,8,0.59
31,9,0.59
32,0,0.59
32,1,0.59
32,2,0.59
32,3,0.6
32,4,0.58
32,5,0.59
32,6,0.6
32,7,0.58
32,8,0.59
32,9,0.6
33,0,0.6
33,1,0.59
33,2,0.59
33,3,0.59
33,4,0.59
33,5,0.58
33,6,0.59
33,7,0.59
33,8,0.6
33,9,0.59
34,0,0.59
34,1,0.59
34,2,0.59
34,3,0.59
34,4,0.6
34,5,0.59
34,6,0.59
34,7,0.59
34,8,0.59
34,9,0.59
35,0,0.59
35,1,0.59
35,2,0.6
35,3,0.6
35,4,0.6
35,5,0.59
35,6,0.6
35,7,0.59
35,8,0.6
35,9,0.6
36,0,0.59
36,1,0.6
36,2,0.59
36,3,0.6
36,4,0.59
36,5,0.59
36,6,0.6
36,7,0.59
36,8,0.59
36,9,0.59
37,0,0.59
37,1,0.6
37,2,0.59
37,3,0.6
37,4,0.6
37,5,0.6
37,6,0.59
37,7,0.59
37,8,0.6
37,9,0.6
38,0,0.59
38,1,0.59
38,2,0.59
38,3,0.59
38,4,0.59
38,5,0.6
38,6,0.59
38,7,0.59
38,8,0.58
38,9,0.59
39,0,0.59
39,1,0.59
39,2,0.59
39,3,0.59
